elements,rows,python,pandas_read_csv,pandas_tuples_to_df,julia_basic,julia_prealloc,cpp,load_external
113,50,0.01103957494099935,0.001280069351196289,0.00975950558980306,0.00041874249776204425,0.00035270055135091144,7.065137227376302e-05,0.0009361108144124349
348,50,0.015004158020019531,0.0039997100830078125,0.011004447937011719,0.0005479653676350912,0.00039045015970865887,8.58306884765625e-05,0.0009398460388183594
200,100,0.019732236862182617,0.0013950665791829426,0.018337170282999676,0.0005340576171875,0.0004049936930338542,7.828076680501302e-05,0.000989357630411784
924,100,0.021247466405232746,0.001444419225056966,0.01980304718017578,0.0010986328125,0.0006468296051025391,0.0001986821492513021,0.0009879271189371746
293,150,0.03611159324645996,0.0013947486877441406,0.03471684455871582,0.0006874402364095052,0.00041755040486653644,0.0001068115234375,0.0009678204854329427
1455,150,0.029350757598876953,0.0013997554779052734,0.02795100212097168,0.0019312699635823567,0.0008598963419596354,0.0002529621124267578,0.0010186831156412761
397,200,0.03562760353088379,0.0013938744862874348,0.03423372904459635,0.0009581247965494791,0.0005050500233968099,0.00013073285420735678,0.0009722709655761719
1911,200,0.0380551815032959,0.0014963944753011067,0.03655878702799479,0.0038129488627115884,0.0010716915130615234,0.0003256797790527344,0.0010328292846679688
501,250,0.04398353894551595,0.0014424324035644531,0.0425411065419515,0.0009054342905680338,0.000568230946858724,0.0001251697540283203,0.0009928544362386067
2408,250,0.04694318771362305,0.0015959739685058594,0.04534721374511719,0.003910144170125325,0.002314329147338867,0.00036605199178059894,0.001049041748046875
592,300,0.052403926849365234,0.001495043436686198,0.05090888341267904,0.0010466575622558594,0.0006423791249593099,0.00013621648152669272,0.0009947617848714192
2469,300,0.05812231699625651,0.0016827583312988281,0.05643955866495768,0.002482175827026367,0.001365979512532552,0.0003737608591715495,0.0011039574940999348
685,350,0.06215214729309082,0.001480420430501302,0.060671726862589516,0.0020699501037597656,0.0006995201110839844,0.0002158482869466146,0.0010298093159993489
3291,350,0.06444819768269856,0.0017367204030354817,0.06271147727966309,0.0044511159261067705,0.0016803741455078125,0.0004718303680419922,0.0010481675465901692
815,400,0.06913844744364421,0.0015954971313476562,0.06754295031229655,0.0014584859212239583,0.0007694562276204427,0.0001777807871500651,0.0010290940602620442
3843,400,0.08143941561381021,0.0017891724904378254,0.07965024312337239,0.004952271779378255,0.0019290447235107422,0.0005613168080647787,0.0011130968729654949
914,450,0.07767399152119955,0.0016144911448160808,0.07605950037638347,0.002147674560546875,0.0008826255798339844,0.00021998087565104166,0.0010690689086914062
4086,450,0.0827490488688151,0.0018986066182454426,0.08085044225056966,0.005163828531901042,0.002068678538004557,0.0005968411763509115,0.0011183420817057292
1028,500,0.08595808347066243,0.0017056465148925781,0.08425243695576985,0.002383550008138021,0.0009776751200358074,0.00023523966471354166,0.0010305245717366536
4319,500,0.0993035634358724,0.002046505610148112,0.09725705782572429,0.005997260411580403,0.0023054281870524087,0.0006647109985351562,0.0011150836944580078
273,50,0.011579036712646484,0.0014551480611165364,0.010123888651529947,0.0004825592041015625,0.00038043657938639325,6.0399373372395836e-05,0.0009713172912597656
989,50,0.015120585759480793,0.0013062159220377605,0.013814369837443033,0.0012516180674235027,0.0006259282430013021,0.00015974044799804688,0.0010131994883219402
533,100,0.020066022872924805,0.0013556480407714844,0.01871037483215332,0.0007124741872151693,0.0005090236663818359,0.00010347366333007812,0.0010076363881429036
2247,100,0.024242719014485676,0.001470804214477539,0.022771914800008137,0.0018055438995361328,0.0010845661163330078,0.0003116130828857422,0.0010750293731689453
766,150,0.028926769892374676,0.0013810793558756511,0.027545690536499023,0.0008768240610758463,0.0005860328674316406,0.0001751581827799479,0.000976880391438802
3230,150,0.03327488899230957,0.0016238689422607422,0.03165102005004883,0.0023833910624186196,0.0015846093495686848,0.0004378954569498698,0.0010752677917480469
1019,200,0.03699413935343424,0.0014423529307047527,0.03555178642272949,0.0018158753712972004,0.000736395517985026,0.0002033710479736328,0.001023689905802409
4460,200,0.04223322868347168,0.0017589728037516277,0.040474255879720054,0.0034290154774983725,0.0024728775024414062,0.0005776087443033854,0.0011018117268880208
1431,250,0.045456488927205406,0.0015103816986083984,0.04394610722859701,0.0015699068705240886,0.0008910497029622396,0.0002322991689046224,0.0010692278544108074
