elements,rows,python,pandas_read_csv,pandas_tuples_to_df,julia_c,julia_basic,julia_prealloc,julia_opt,cpp,load_external
113,50,0.010922829310099285,0.0012288888295491536,0.00969394048055013,0.00031693776448567707,0.0003555615743001302,0.00033537546793619793,0.00026535987854003906,5.396207173665365e-05,0.0009433428446451823
348,50,0.012367010116577148,0.0012648900349934895,0.011102120081583658,0.0003498395284016927,0.00048534075419108075,0.0003902912139892578,0.0002665519714355469,9.989738464355469e-05,0.0009368260701497396
200,100,0.01948690414428711,0.001251220703125,0.01823568344116211,0.0003189245859781901,0.0004219214121500651,0.0003787676493326823,0.000247955322265625,6.095568339029948e-05,0.0009404818216959635
924,100,0.021291335423787434,0.001310904820760091,0.019980430603027344,0.0004723866780598958,0.0009226799011230469,0.0006177425384521484,0.00028403600056966144,0.00015624364217122397,0.0009702841440836588
293,150,0.03618041674296062,0.0013113816579182942,0.03486903508504232,0.0003948211669921875,0.0006144046783447266,0.0004314581553141276,0.00025653839111328125,8.845329284667969e-05,0.000942230224609375
1455,150,0.029661893844604492,0.0014049212137858074,0.028256972630818684,0.0006124973297119141,0.0018796126047770183,0.0008551279703776041,0.0002988179524739583,0.00022482872009277344,0.0010058085123697917
397,200,0.036080360412597656,0.0014047622680664062,0.03467559814453125,0.000402530034383138,0.0008945465087890625,0.0005174477895100912,0.0002891222635904948,0.00012803077697753906,0.0009752114613850912
1911,200,0.038114070892333984,0.0014777978261311848,0.0366362730662028,0.0007119178771972656,0.002760728200276693,0.001231829325358073,0.0003368059794108073,0.00029389063517252606,0.0010284582773844402
501,250,0.04456663131713867,0.0014386971791585286,0.04312793413798014,0.00043662389119466144,0.0026532808939615884,0.0005677541097005209,0.00028634071350097656,0.0001674493153889974,0.0010021527608235676
2408,250,0.04673171043395996,0.0015319983164469402,0.04519971211751302,0.0008083979288736979,0.0028428236643473306,0.0012482007344563801,0.00034999847412109375,0.00037972132364908856,0.0010431607564290364
592,300,0.05271577835083008,0.0014853477478027344,0.051230430603027344,0.00047477086385091144,0.0010131994883219402,0.0006162325541178385,0.0002689361572265625,0.00015306472778320312,0.000972747802734375
2469,300,0.055665016174316406,0.0015911261240641277,0.05407389005025228,0.0008323987325032552,0.0037567615509033203,0.001283884048461914,0.0003466606140136719,0.0004077752431233724,0.0010073184967041016
685,350,0.061209917068481445,0.001513083775838216,0.05969683329264323,0.0005005995432535807,0.0011725425720214844,0.0006748040517171224,0.00028260548909505207,0.00018072128295898438,0.0010002454121907551
3291,350,0.06433653831481934,0.0017099380493164062,0.06262660026550293,0.0010153452555338542,0.004798491795857747,0.0016110738118489583,0.0003962516784667969,0.0004956722259521484,0.0010500748952229817
815,400,0.06906851132710774,0.0015401840209960938,0.06752832730611165,0.0005278587341308594,0.0018374125162760417,0.0007847944895426432,0.0003025531768798828,0.00021338462829589844,0.0010212262471516926
3843,400,0.08065478006998697,0.0017171700795491536,0.07893760999043782,0.0011412302652994792,0.004951079686482747,0.0018265247344970703,0.000402371088663737,0.000583648681640625,0.0012701352437337239
914,450,0.0774984359741211,0.0016322135925292969,0.0758662223815918,0.000591278076171875,0.0015347003936767578,0.0008413791656494141,0.0003266334533691406,0.00022586186726888022,0.0010240872701009114
4086,450,0.08157054583231609,0.0017800331115722656,0.07979051272074382,0.0011968612670898438,0.005521376927693685,0.0019272168477376301,0.0003743171691894531,0.0005880991617838541,0.001093467076619466
